query,length,numDigits,numPeriods,numDashes,includesCom,includesNet,includesOrg,includesEdu,includesCdn,includesAds,label
zillow.com,10,0,1,0,1,0,0,0,0,0,1
zillow.com,10,0,1,0,1,0,0,0,0,0,1
zillow.com,10,0,1,0,1,0,0,0,0,0,1
zillow.com,10,0,1,0,1,0,0,0,0,0,1
zillow.com,10,0,1,0,1,0,0,0,0,0,1
zillow.com,10,0,1,0,1,0,0,0,0,0,1
s.zillowstatic.com,18,0,2,0,1,0,0,0,0,0,0
s.zillowstatic.com,18,0,2,0,1,0,0,0,0,0,0
zillowstatic.com,16,0,1,0,1,0,0,0,0,0,0
videos.zillowstatic.com,23,0,2,0,1,0,0,0,0,0,0
d113h6t4blc2w9.cloudfront.net,29,7,2,0,0,1,0,0,0,0,0
zillowstatic.com,16,0,1,0,1,0,0,0,0,0,0
videos.zillowstatic.com,23,0,2,0,1,0,0,0,0,0,0
d113h6t4blc2w9.cloudfront.net,29,7,2,0,0,1,0,0,0,0,0
zillowstatic.com,16,0,1,0,1,0,0,0,0,0,0
videos.zillowstatic.com,23,0,2,0,1,0,0,0,0,0,0
videos.zillowstatic.com,23,0,2,0,1,0,0,0,0,0,0
d113h6t4blc2w9.cloudfront.net,29,7,2,0,0,1,0,0,0,0,0
d113h6t4blc2w9.cloudfront.net,29,7,2,0,0,1,0,0,0,0,0
consent.truste.com,18,0,2,0,1,0,0,0,0,0,0
consent.truste.com,18,0,2,0,1,0,0,0,0,0,0
cdn.zg-api.com,14,0,2,1,1,0,0,0,1,0,0
cdn.zg-api.com,14,0,2,1,1,0,0,0,1,0,0
consent.truste.com,18,0,2,0,1,0,0,0,0,0,0
consent.truste.com,18,0,2,0,1,0,0,0,0,0,0
consent.truste.com,18,0,2,0,1,0,0,0,0,0,0
cdn.zg-api.com,14,0,2,1,1,0,0,0,1,0,0
ocsp.godaddy.com,16,0,2,0,1,0,0,0,0,0,0
ocsp.godaddy.com,16,0,2,0,1,0,0,0,0,0,0
consent.trustarc.com,20,0,2,0,1,0,0,0,0,0,0
sb.scorecardresearch.com,24,0,2,0,1,0,0,0,0,0,0
consent.trustarc.com,20,0,2,0,1,0,0,0,0,0,0
consent.trustarc.com,20,0,2,0,1,0,0,0,0,0,0
sb.scorecardresearch.com,24,0,2,0,1,0,0,0,0,0,0
collector-pxhyx10rg3.perimeterx.net,35,3,2,1,0,1,0,0,0,0,0
collector-pxhyx10rg3.perimeterx.net,35,3,2,1,0,1,0,0,0,0,0
sb.scorecardresearch.com,24,0,2,0,1,0,0,0,0,0,0
collector-pxhyx10rg3.perimeterx.net,35,3,2,1,0,1,0,0,0,0,0
facebook.com,12,0,1,0,1,0,0,0,0,0,1
resources.xg4ken.com,20,1,2,0,1,0,0,0,0,0,0
facebook.com,12,0,1,0,1,0,0,0,0,0,0
pt.ispot.tv,11,0,2,0,0,0,0,0,0,0,0
beacon.krxd.net,15,0,2,0,0,1,0,0,0,0,0
usermatch.krxd.net,18,0,2,0,0,1,0,0,0,0,0
resources.xg4ken.com,20,1,2,0,1,0,0,0,0,0,0
4704202.fls.doubleclick.net,27,7,3,0,0,1,0,0,0,0,0
beacon.krxd.net,15,0,2,0,0,1,0,0,0,0,0
pt.ispot.tv,11,0,2,0,0,0,0,0,0,0,0
usermatch.krxd.net,18,0,2,0,0,1,0,0,0,0,0
4704202.fls.doubleclick.net,27,7,3,0,0,1,0,0,0,0,0
facebook.com,12,0,1,0,1,0,0,0,0,0,0
beacon.krxd.net,15,0,2,0,0,1,0,0,0,0,0
usermatch.krxd.net,18,0,2,0,0,1,0,0,0,0,0
pt.ispot.tv,11,0,2,0,0,0,0,0,0,0,0
4704202.fls.doubleclick.net,27,7,3,0,0,1,0,0,0,0,0
resources.xg4ken.com,20,1,2,0,1,0,0,0,0,0,0
resources.xg4ken.com,20,1,2,0,1,0,0,0,0,0,0
smartlock.google.com,20,0,2,0,1,0,0,0,0,0,0
smartlock.google.com,20,0,2,0,1,0,0,0,0,0,0
bat.bing.com,12,0,2,0,1,0,0,0,0,0,0
bat.bing.com,12,0,2,0,1,0,0,0,0,0,0
bat.bing.com,12,0,2,0,1,0,0,0,0,0,0
adservice.google.com,20,0,2,0,1,0,0,0,0,1,0
adservice.google.com,20,0,2,0,1,0,0,0,0,1,0
data.adxcel-ec2.com,19,1,2,1,1,0,0,0,0,0,0
s.tribalfusion.com,18,0,2,0,1,0,0,0,0,0,0
s.tribalfusion.com,18,0,2,0,1,0,0,0,0,0,0
data.adxcel-ec2.com,19,1,2,1,1,0,0,0,0,0,0
data.adxcel-ec2.com,19,1,2,1,1,0,0,0,0,0,0
data.adxcel-ec2.com,19,1,2,1,1,0,0,0,0,0,0
gstatic.com,11,0,1,0,1,0,0,0,0,0,0
gstatic.com,11,0,1,0,1,0,0,0,0,0,0
adobe.com,9,0,1,0,1,0,0,0,0,0,1
adobe.com,9,0,1,0,1,0,0,0,0,0,1
adobe.com,9,0,1,0,1,0,0,0,0,0,1
adobe.com,9,0,1,0,1,0,0,0,0,0,0
adobe.com,9,0,1,0,1,0,0,0,0,0,0
adobe.com,9,0,1,0,1,0,0,0,0,0,0
c.evidon.com,12,0,2,0,1,0,0,0,0,0,0
adobeid-na1.services.adobe.com,30,1,3,1,1,0,0,0,0,0,0
assets.adobedtm.com,19,0,2,0,1,0,0,0,0,0,0
